"time","measured_M0","reference_M0","command_M0","measured_M1","reference_M1","command_M1","measured_M2","reference_M2","command_M2","measured_M3","reference_M3","command_M3","measured_M4","reference_M4","command_M4","measured_M5","reference_M5","command_M5","measured_M6","reference_M6","command_M6","angle_0","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","JR3_FX","JR3_FY","JR3_FZ","JR3_MX","JR3_MY","JR3_MZ","map_creation_id","unix_time_seconds"
18.6005,9.38580705,9.399715,2.30760515,4.04610086,4.041312,0.90504109,3.09615379,3.085152,0.78767482,3.68434795,3.673198,1.01839556,4.00498644,4.000609,1.19527014,1.52718267,1.534994,0.10448368,3.256755,3.259579,0.49653139,94.32,99,-57.78,68.508,64.44,52.0344,96.102,-0.358829736442931,0.439514355507332,-2.25568242116649,0.0278123491050111,0.0306053849457011,0.0114121972098247,1512347428282.11,1512396258
19.4015,9.48847004,9.490402,2.33866475,5.47683407,5.477518,1.47452263,3.63804289,3.636248,0.90667824,1.95206506,1.939033,0.35303023,3.20186582,3.241198,0.75302563,2.49237291,2.494421,0.52398533,3.60946854,3.633675,0.78493062,95.76,101.34,-59.58,61.56,63.18,54.441,96.12,-0.427345178092931,0.403688657717332,-2.05820985519649,0.0250665888758835,0.0303501840478751,0.0106985014198247,1512347428278.73,1512396258
20.2025,3.42921224,3.423708,0.72052431,2.99484867,2.999872,0.65108485,5.96202221,5.980014,1.37413478,0.9737737,0.964724,0.11918494,7.90380931,7.910309,2.18119309,4.4090878,4.393403,0.93411414,2.17275101,2.164421,0.27650022,74.7,89.6382,-67.32,54.1458,78.804,66.96,83.34,-0.428542976282931,0.455568851497332,-3.26265402693649,0.0322820258033467,0.0397171043885715,0.0114320680498247,1512347428281.86,1512396259
21.0035,6.06874444,6.068368,1.64634682,9.54495966,9.595582,2.49866326,4.43754967,4.444985,0.77480271,5.58107245,5.584444,1.47581457,2.37423708,2.37041,0.54061517,0.97501612,0.764906,0,1.91648888,1.893222,0.23704381,85.1328,117.999,-66.96,80.1864,62.2638,48.3192,79.92,0.274262788517069,0.194313993947332,-1.88249009783649,-0.00429510305847535,0.0153340273670835,0.00791191705982473,1512347428280.38,1512396260
21.8035,5.02415784,5.033175,1.16895776,7.11503949,7.166661,1.71986392,9.46284325,9.478975,2.14863452,1.96663447,1.958296,0.35970427,2.1711698,2.169927,0.4936368,5.41030626,5.410478,1.11589941,6.82082187,6.810448,1.42949431,84.42,115.38,-82.152,67.0968,59.04,72.3006,104.9238,-1.69547592512293,0.336937326377332,-3.56336730673649,0.00998378434349386,0.0745958724994819,0.0112907207498247,1512347428280.32,1512396261
22.6045,1.25601114,1.296629,0.29273691,7.44968282,7.469985,1.7247106,1.26120774,1.252027,0.13512569,0.61778493,0.615159,0.03039997,2.11549019,2.101787,0.45613735,2.74366567,2.766032,0.344606,9.02982758,9.049524,1.93671572,57.6,112.14,-48.1104,46.9674,53.6274,62.2116,115.4844,-1.47930793089293,0.509852555187332,-2.64230925535649,0.0392321740560703,0.0548827114046431,0.0126902294298247,1512347428281.86,1512396262
23.4055,9.72835566,9.710557,2.37719514,7.38327368,7.311824,1.86528177,0.96191514,0.958579,0.07312929,2.80307248,2.794728,0.83094423,4.22996407,4.241847,1.26757023,1.085472,0.658352,0,3.99075597,3.979201,0.64064241,96.9876,112.5,-46.4868,62.748,63.7236,46.44,102.5964,-0.384886167652931,0.451750984707332,-1.79388745783649,0.0325055173798591,0.0272985847480687,0.0116969626398247,1512347428278.84,1512396262
24.2065,1.47342157,1.426423,0.29918988,3.79277483,3.794216,0.85764054,8.76735478,8.785187,2.00042536,8.42661125,8.399706,2.09372997,6.31484765,6.311856,1.81777453,1.18463376,0.816466,0,8.19508335,8.222629,1.75497898,61.4988,100.0584,-81.8496,93.8196,77.5062,44.2746,114.7446,-0.648847958492931,0.663462025177332,-4.63960154858649,0.0346620566229659,0.0552359294484991,0.0199609776498247,1512347428279.92,1512396263
25.0065,2.0621804,2.127814,0.65283954,3.56587696,3.581849,0.78458003,1.84138369,1.841016,0.24976905,7.31877675,7.351558,1.53891485,3.0875699,3.128056,0.71803866,1.30062384,1.967817,0.28389454,4.11996009,4.106035,0.66701739,61.0596,95.4,-57.078,88.92,66.42,39.8196,102.6,0.258796630587069,0.524801535867332,-3.04002374764649,0.0280956974707695,0.0185326834468943,0.0148720343198247,1512347428280.19,1512396264
25.8075,9.73863324,9.695182,2.37815975,8.94366309,8.928522,2.34219732,7.18697629,7.184458,1.62766486,3.53808984,3.551459,0.73390254,6.73577742,6.73336,1.93932427,7.73970646,7.75121,1.58753096,8.67530695,8.676917,1.84052577,100.8666,121.7736,-79.1226,82.44,79.56,84.5712,117.2124,-2.15947498403293,0.827212171427332,-5.26936706634649,0.0643958312448159,0.100600701782662,0.0211922087098247,1512347428280.9,1512396265
26.6085,0.71446153,0.722216,0.14160092,4.89643166,4.896955,1.09126092,1.36443543,1.346247,0.15071015,9.96384609,9.989876,2.44144874,5.9518566,5.952949,1.42551719,2.8328888,2.806444,0.35097091,3.36958269,3.364578,0.51448576,51.6384,104.4,-55.3194,98.28,78.66,64.8,96.7284,0.0833861379670691,0.699823551447332,-4.41907228363649,0.0486265740918247,0.0363688111763415,0.0181583997998247,1512347428280.26,1512396266
27.4095,1.16396473,1.181798,0.46046507,6.96584469,6.977158,1.83086822,7.60621198,7.614598,1.71493132,0.40500495,0.300665,0,9.58041281,9.588527,2.64640504,2.63535571,2.648649,0.30687263,7.57526515,7.573753,1.58824297,52.56,108.36,-76.2498,53.5752,87.8904,63.54,111.3876,-0.880172924062931,0.668723044787332,-4.10465565071649,0.0483733912554943,0.0547297221493483,0.0180863828098247,1512347428282.44,1512396266
28.2095,6.22573174,6.283752,1.69207301,2.97203466,2.96802,0.65541488,4.95414,4.986998,0.90800523,8.84641154,8.864994,2.20258895,4.22409117,4.226547,1.00641111,5.32187382,5.339148,1.07763597,8.07514039,8.082872,1.72050794,82.6578,97.1748,-73.8,96.6132,77.787,72.54,114.66,-1.07265044003293,0.859069928587332,-5.19464766573649,0.0601111165363663,0.0698295842620215,0.0225621514798247,1512347428280.65,1512396267
29.0105,0.15969782,0.065927,0,3.04375201,3.055417,0.660851,4.46623647,4.468705,0.76851671,7.15896573,7.18338,1.51576444,7.76093936,7.767392,2.16854421,8.30000482,8.314138,1.71304797,1.06457798,1.051932,0.05491233,37.6776,92.7,-71.1,93.24,85.1094,85.5288,71.55,-0.310252298902931,0.559087188237332,-5.33363908803649,0.0383920896941123,0.0545843126528187,0.0138952933098247,1512347428279.11,1512396268
29.8115,2.11368122,2.125195,0.67925374,0.06844204,0.20542,0.04849115,7.71056909,7.715456,1.73616472,7.78646381,7.845754,1.88574586,4.40716789,4.408501,1.03067464,2.75383024,2.758374,0.34446951,3.39634955,3.405673,0.76360656,50.94,52.38,-77.2686,93.24,77.4972,65.34,83.16,0.139733529667069,0.485545497877332,-4.2358256622365,0.0227263629339539,0.0324991077016895,0.0137418087998247,1512347428280.8,1512396269
30.6125,8.23900924,8.248729,2.05864792,6.29429903,6.26961,1.69045954,9.51795829,9.492556,2.15402388,2.13435125,2.139813,0.3969792,5.36332306,5.335462,1.53149663,2.4588296,2.44533,0.28358234,5.91752278,5.890376,1.25898813,92.7504,107.721,-85.437,75.0186,78.3,64.26,101.0628,-0.776430385712931,0.436589445657332,-3.43726375826649,0.0196704220931771,0.0517703138827223,0.0136998182398247,1512347428279.48,1512396270
31.4125,8.3492391,8.347905,2.08793589,9.6829733,9.704948,2.53114438,8.55367102,8.561653,1.70350294,1.0723708,1.074419,0.17465363,3.32090511,3.320267,0.76298938,1.1430717,0.094675,0,9.69414434,9.691294,2.06023558,95.76,122.7438,-85.14,63.9594,70.4034,46.863,121.9104,-1.33812226967293,0.407474773287332,-2.91539623458649,0.0136954755710343,0.0593346359533799,0.0142133457598247,1512347428280.93,1512396270
32.2135,3.46027077,3.456941,0.72384551,8.91181379,8.947551,2.12875888,2.05574496,2.059698,0.29640675,6.48866321,6.481828,1.6584598,9.08562007,9.09985,2.56694138,7.53618746,7.542297,1.54702572,6.49769877,6.485564,1.13770935,80.0928,122.4,-64.4382,91.3428,90.1044,83.8062,116.1,-1.40190086800293,1.03957446132733,-5.85102186183649,0.0881466919233719,0.0849977468934147,0.0256019963598247,1512347428279.47,1512396271
33.0145,9.13745086,9.13711,2.2553115,2.78116479,2.778105,0.60631907,7.98015844,7.976877,1.8030871,1.42723016,1.423102,0.2317464,7.79482154,7.790019,1.89979666,8.5754671,8.552102,1.79642837,2.05574471,2.056697,0.25912963,96.543,96.39,-80.1378,68.7834,89.1,88.38,86.8842,-0.984123661262931,0.602655675517332,-4.66195423886649,0.0475664128057155,0.0675221926369803,0.0144408614698247,1512347428279.37,1512396272
33.8155,7.42967754,7.459289,1.62480278,8.72196032,8.704126,2.27565689,3.00885079,2.994726,0.46233025,3.63375056,3.622237,1.00905587,1.92642759,1.912239,0.45425884,2.87072394,2.866875,0.35650372,7.00028442,7.001445,1.4746521,95.4,118.3806,-66.753,75.0582,63.3276,68.58,109.116,-0.941703357942931,0.441122901357332,-2.78253503950649,0.0252925255866851,0.0487761760872411,0.0126100989898247,1512347428279.24,1512396273
34.6155,5.24168125,5.267805,1.12105182,6.80230656,6.794868,1.60568356,5.00541504,5.019281,1.16644309,9.65009702,9.65062,2.40630404,7.56702029,7.575731,2.11455351,1.96663442,1.967572,0.18002359,3.14923553,3.145509,0.47998515,90.4356,117,-74.7,102.5154,85.7988,61.7256,97.0938,0.117670757697069,0.627815333097332,-4.02862345596649,0.0371693878992507,0.0370733609017227,0.0177373006298247,1512347428282.65,1512396274
35.4165,0.58582223,0.58622,0.11847085,0.34548562,0.383281,0.06562448,6.96572557,6.956008,1.54593708,8.18107831,8.198745,1.70457198,2.9058484,2.901926,0.65702369,1.34839772,1.350236,0.07239851,2.65399102,2.654311,0.38713133,44.46,60.21,-77.04,95.76,70.0884,50.9904,88.38,0.468382785787069,0.339107710677332,-3.44522952172649,0.00366725440958585,0.0173454075631823,0.0114956646298247,1512347428279.57,1512396274
36.2175,1.90146606,1.880312,0.62795117,3.77470429,3.747466,1.1065035,7.80419691,7.811925,1.74119409,4.78009764,4.792796,0.95985883,0.71988333,0.718522,0.1671056,4.39203383,4.380085,0.93610128,0.71649508,0.333133,0,54.72,87.5988,-78.48,84.96,51.6762,67.6062,59.94,-0.210125359662931,0.030609345597332,-2.84038170646649,-0.0213028343302493,0.0325307044436843,0.00419965283982473,1512347428280,1512396275
37.0185,2.93249981,2.925493,0.86064504,7.93340804,7.941898,2.09095011,4.52925737,4.531699,0.77446601,0.43030362,0.332885,0,8.34213185,8.359637,2.29055768,1.37369634,1.376152,0.06892187,0.73117746,0.309725,0,63.8424,109.5894,-72.18,54.2574,84.7476,54.7506,59.22,0.718904093207069,0.184632929797332,-2.06324279968649,0.00190238521479865,0.00408999851424714,0.00687572442982473,1512347428281.34,1512396276
37.8185,5.18961567,5.203351,1.37181424,3.87940038,3.874298,0.87585733,0.57430297,0.489917,0,7.53776855,7.54417,1.86924372,2.12294426,2.118289,0.50346752,9.26587309,9.298301,1.98757926,6.83855359,6.855457,1.43427185,76.77,100.44,-46.242,90.72,64.8954,91.2222,105.9408,-1.65180930643293,0.807577141607332,-5.18035700314649,0.0688475660098951,0.0837344275348055,0.0184245196798247,1512347428281.66,1512396277
38.6195,1.58353861,1.589502,0.34046694,2.92685842,2.936642,0.64051444,2.45916874,2.445494,0.66595507,7.98512631,7.985028,1.97084651,5.3529325,5.375225,1.57608471,8.01946035,8.024359,1.47809369,2.60124772,2.594878,0.37080315,59.94,92.9898,-55.7748,93.798,74.5092,90.54,89.64,-1.11309817485293,0.698871497377332,-5.46370467119649,0.0574968639587339,0.0744486751469007,0.0160222371998247,1512347428280.27,1512396278
39.4205,1.05746174,1.056343,0.2124648,1.96652356,1.96484,0.41581093,7.68639983,7.698026,1.70861968,1.46517816,1.46594,0.21359651,1.38950806,1.397643,0.31728562,9.36729378,9.304992,2.00284986,1.52537565,1.528494,0.15860928,51.66,82.53,-73.98,64.026,55.5102,91.44,76.7304,-1.60851543835293,0.253761981157332,-4.21285710494649,0.0118058271337971,0.0760131511859607,0.00671421608982473,1512347428281.25,1512396278
40.2215,2.23362401,2.253612,0.64962727,0.68351708,0.696555,0.13234263,8.77187233,8.785539,1.98910614,4.41970424,4.445292,1.18825396,9.02022736,9.013658,2.50046692,3.24105612,3.240177,0.40377238,5.67639456,5.676337,1.20763522,57.24,69.5988,-81.3654,81.54,88.5924,72.6966,98.46,-0.571828394882931,0.676150166227332,-4.95575095323649,0.0455685255345279,0.0552611646603875,0.0180517190998247,1512347428279.37,1512396279
41.0215,9.62975852,9.637578,2.36402095,2.79302361,2.796811,0.88992083,8.20299029,8.193467,1.89048672,6.46087979,6.434881,1.67132154,9.83328698,9.835374,2.77808026,7.85558353,7.856626,1.6361318,2.03891654,2.034881,0.25584899,98.82,89.64,-84.24,93.06,95.58,88.5816,85.4208,-0.731556730652931,0.754812973557332,-5.48854824142649,0.0579663288564531,0.0697775209103487,0.0185109187398247,1512347428281.72,1512396280
41.82197,0.17392836,0.179934,0.01033897,7.78059924,7.792439,2.05493097,1.26629006,1.267346,0.13982622,0.43041656,0.484205,0,8.69134426,8.724262,2.21136452,9.75772956,9.742306,2.02816234,9.26022646,9.235611,1.93872994,41.076,109.7424,-52.4988,55.4652,93.42,96.12,117.4914,-1.90770529025293,1.16202678188733,-6.0406205174765,0.111880085298818,0.0943545389001247,0.0263505185398247,1512347428281.52,1512396281
42.6235,7.48976189,7.492045,1.90370105,5.35587449,5.342928,1.24486875,1.2081256,1.246028,0.2669948,6.98955481,7.014129,1.76584013,3.46129034,3.462701,0.79254489,6.50244197,6.495901,1.10569328,0.69752114,0.467622,0,88.6932,107.46,-51.48,89.2584,76.2696,89.28,66.3246,-0.259795354092931,0.530495970587332,-3.83877768088649,0.0428587569448463,0.0438013038304351,0.0117937787498247,1512347428280.66,1512396282
43.4245,9.32278634,9.301662,2.29324832,3.67362236,3.672454,0.82518418,4.07885021,4.074469,1.00349433,2.78940664,2.779067,0.51790846,5.18939444,5.189513,1.48208776,2.5290786,2.520981,0.27806486,3.24331508,3.247385,0.73277269,96.2514,99.18,-64.08,75.24,77.58,70.785,84.24,-0.0644763465929309,0.447457287117332,-2.68070348255649,0.0296293151488195,0.0282781699887351,0.0112642715898247,1512347428282.12,1512396282
44.2245,1.76141985,1.83656,0.39156404,1.27724634,1.265908,0.25817908,1.78446157,1.78335,0.25008812,9.43347692,9.43147,2.29725264,0.87528953,0.904099,0.2185567,2.56533242,2.5631,0.28384491,9.24136542,9.257623,1.95666733,62.5986,76.8402,-55.7226,96.3936,54.9252,65.7,117.828,-0.818210438982931,0.732495251277332,-4.05128294105649,0.0478162828914499,0.0491092102919835,0.0187620530298247,1512347428280.01,1512396283
45.0255,9.29760057,9.29056,2.29357407,9.60289832,9.604909,2.52714009,9.3274274,9.330189,2.15778056,4.03412496,4.047667,0.8627702,9.44601348,9.502266,2.67010306,1.19976784,0.245956,0,9.6753962,9.696762,2.05066919,101.466,125.7282,-88.4592,90.54,93.8808,53.5968,125.1414,-1.08815440685293,0.803434244537332,-4.51133238101649,0.0533120810258843,0.0692000203848207,0.0229550079098247,1512347428279.6,1512396284
45.8265,2.37446085,2.369404,0.48623652,6.01544841,6.008277,1.4111453,9.12447309,9.148734,1.89698404,8.65633252,8.672975,2.18254683,6.27701252,6.251776,1.50081347,1.14499174,1.50235,0,7.82283109,7.916308,1.46951772,73.98,115.2,-88.38,102.1536,89.46,49.86,123.12,-0.731398657002931,0.770602523547332,-5.07527098019649,0.0452914747285487,0.0628311452762547,0.0230457965498247,1512347428281.94,1512396285
46.6275,0.4091834,0.419923,0.07477048,3.25664524,3.262281,0.70850077,5.18826592,5.191514,0.91781194,6.01171497,5.992627,1.22331311,6.25035862,6.2471,1.49021383,6.66349525,6.643694,1.3589011,5.16330539,5.15595,0.87074808,45.8154,97.2396,-77.4,93.6,87.3,81.0378,110.88,-0.944345231572931,0.781945701627332,-5.68769400474649,0.0549359604661039,0.0699454168091439,0.0208878162598247,1512347428280.69,1512396286
47.4275,8.85690672,8.845563,2.18767471,6.88814149,6.943553,1.86907365,3.56926213,3.57141,0.58150091,5.40985448,5.43147,1.17766807,4.81872342,4.809515,1.12960625,5.44407556,5.44194,0.89719335,9.37169889,9.382417,1.97732076,97.5258,114.48,-72.9,92.52,83.6406,81,122.04,-1.42673969382293,0.894326752067332,-4.99917003487649,0.0690587119238975,0.0782091887982539,0.0228649406298247,1512347428282.22,1512396286
48.2285,5.45920455,5.47567,1.15411743,0.75704145,0.761059,0.14239374,7.49338431,7.493815,1.6668074,1.85572671,1.858791,0.29877232,3.5033042,3.50953,0.80758546,9.27118133,9.277479,1.98774559,0.67696591,0.031573,0,86.58,74.0016,-77.9022,71.4312,73.8342,92.3976,66.9762,-0.994078320392931,0.341687249247332,-4.13325078706649,0.0209624858508567,0.0623933959982631,0.00815313715982473,1512347428280.75,1512396287
49.0295,7.29030901,7.306558,1.85033535,5.25275961,5.248874,1.45854892,7.49665954,7.496914,1.69141876,3.33445795,3.344594,0.94775733,4.89665243,4.90168,1.44769636,8.32790122,8.321304,1.7890114,9.29862624,9.312505,1.94776257,93.6126,103.6566,-81.18,79.92,78.66,93.6774,120.7422,-2.44606921081293,0.782870629977332,-5.60806534343649,0.0613248823610779,0.107366243570678,0.0195227902598247,1512347428280.42,1512396288
49.82962,0.62343152,0.611685,0.11710341,6.78423595,6.778168,1.80018032,0.59000175,0.426539,0,6.48109622,6.469514,1.62118792,5.80379145,5.808137,1.66401377,9.26801896,9.292359,2.0093848,2.34385617,2.340799,0.31823181,51.3036,107.64,-47.4048,89.1,80.82,95.04,92.0736,-0.978920287902931,0.696481308337332,-5.23387863619649,0.0615914045759563,0.0697830984576587,0.0158359131298247,1512347428280.58,1512396289
50.6305,4.80787683,4.827328,1.27992605,0.23774014,0.288693,0.01271953,7.69927506,7.712528,1.73472932,7.92278314,7.93458,1.9822091,5.64228641,5.593128,1.47001455,1.16148104,1.172364,0.01265782,6.73916585,6.743693,1.42461638,75.141,65.484,-80.0136,96.1722,82.26,55.6866,110.1726,-0.135567190742931,0.663386504307332,-4.21818205246649,0.0375920856124831,0.0385045770488091,0.0186175972898247,1512347428282.64,1512396290
51.4315,0.1990012,0.094776,0,0.68114532,0.680139,0.37683516,6.55518639,6.54847,1.19688372,6.2617655,6.299001,1.30924619,5.15596404,5.204111,1.2518678,2.93600354,2.902665,0.60603007,2.31110335,2.304758,0.32330331,37.4814,60.12,-77.58,91.44,81.36,62.28,89.7678,0.412026511187069,0.438367557917332,-3.84312192609649,0.0176538368299715,0.0220052182883583,0.0130446311898247,1512347428281.22,1512396290
52.2325,2.46221563,2.450569,0.75324192,2.42720866,2.432247,0.79976159,5.66544014,5.808142,1.27916396,8.83014816,8.836983,2.20434473,5.44068736,5.447553,1.59217101,4.5077979,4.501171,0.92855672,2.54477738,2.52493,0.51734598,58.455,80.28,-77.04,99.045,82.26,72.18,90,0.0851814014470691,0.517788360017332,-4.39154253361649,0.0266317749918955,0.0365786580574727,0.0147668638198247,1512347428282.02,1512396291
53.0335,3.9600324,3.979644,1.07129989,8.75516496,8.734312,2.29815417,0.60468398,0.114791,0,8.95923922,8.968443,1.98519986,0.10898771,0.079177,0,1.19479845,1.185195,0.01724133,8.85770609,8.857292,1.88622786,72.18,117.1656,-49.3092,100.26,44.5554,50.7258,121.59,-0.618325041962931,0.518443146887332,-2.82854616484649,0.0257486026694183,0.0380238130464723,0.0150798484198247,1512347428282.4,1512396292
53.8335,1.96990801,1.943035,0.38324419,1.17401857,1.174831,0.23726091,7.2567736,7.258398,1.64825051,5.25196343,5.260269,1.0627967,4.05772959,4.048742,1.25503773,2.43319203,2.430111,0.5161579,3.02703384,3.030479,0.46758463,60.0642,76.9536,-76.4694,90.3708,67.0266,57.4992,98.6994,-0.180209050262931,0.342086087987332,-3.28265114391649,0.00762587353250225,0.0318758645458203,0.0110888304898247,1512347428279.61,1512396293
